Models,FPR,TPR
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.003703703703703704
Logistic Regression,0.0,0.12222222222222222
Logistic Regression,0.0072992700729927005,0.12222222222222222
Logistic Regression,0.0072992700729927005,0.32222222222222224
Logistic Regression,0.014598540145985401,0.32222222222222224
Logistic Regression,0.014598540145985401,0.3888888888888889
Logistic Regression,0.021897810218978103,0.3888888888888889
Logistic Regression,0.021897810218978103,0.43703703703703706
Logistic Regression,0.029197080291970802,0.43703703703703706
Logistic Regression,0.029197080291970802,0.4703703703703704
Logistic Regression,0.0364963503649635,0.4703703703703704
Logistic Regression,0.0364963503649635,0.5555555555555556
Logistic Regression,0.043795620437956206,0.5555555555555556
Logistic Regression,0.043795620437956206,0.5962962962962963
Logistic Regression,0.051094890510948905,0.5962962962962963
Logistic Regression,0.051094890510948905,0.6370370370370371
Logistic Regression,0.058394160583941604,0.6370370370370371
Logistic Regression,0.058394160583941604,0.6925925925925925
Logistic Regression,0.06569343065693431,0.6925925925925925
Logistic Regression,0.06569343065693431,0.7037037037037037
Logistic Regression,0.072992700729927,0.7037037037037037
Logistic Regression,0.072992700729927,0.7296296296296296
Logistic Regression,0.08759124087591241,0.7296296296296296
Logistic Regression,0.08759124087591241,0.7444444444444445
Logistic Regression,0.0948905109489051,0.7444444444444445
Logistic Regression,0.0948905109489051,0.7481481481481481
Logistic Regression,0.10218978102189781,0.7481481481481481
Logistic Regression,0.10218978102189781,0.762962962962963
Logistic Regression,0.10948905109489052,0.762962962962963
Logistic Regression,0.10948905109489052,0.7703703703703704
Logistic Regression,0.12408759124087591,0.7703703703703704
Logistic Regression,0.12408759124087591,0.7851851851851852
Logistic Regression,0.1386861313868613,0.7851851851851852
Logistic Regression,0.1386861313868613,0.7888888888888889
Logistic Regression,0.145985401459854,0.7888888888888889
Logistic Regression,0.145985401459854,0.8
Logistic Regression,0.16058394160583941,0.8
Logistic Regression,0.16058394160583941,0.8037037037037037
Logistic Regression,0.1678832116788321,0.8037037037037037
Logistic Regression,0.1678832116788321,0.8148148148148148
Logistic Regression,0.18248175182481752,0.8148148148148148
Logistic Regression,0.18248175182481752,0.8333333333333334
Logistic Regression,0.19708029197080293,0.8333333333333334
Logistic Regression,0.19708029197080293,0.8407407407407408
Logistic Regression,0.21897810218978103,0.8407407407407408
Logistic Regression,0.21897810218978103,0.8481481481481481
Logistic Regression,0.22627737226277372,0.8481481481481481
Logistic Regression,0.22627737226277372,0.8518518518518519
Logistic Regression,0.23357664233576642,0.8518518518518519
Logistic Regression,0.23357664233576642,0.8555555555555555
Logistic Regression,0.24087591240875914,0.8555555555555555
Logistic Regression,0.24087591240875914,0.8592592592592593
Logistic Regression,0.24817518248175183,0.8592592592592593
Logistic Regression,0.24817518248175183,0.8629629629629629
Logistic Regression,0.27007299270072993,0.8629629629629629
Logistic Regression,0.27007299270072993,0.8666666666666667
Logistic Regression,0.31386861313868614,0.8666666666666667
Logistic Regression,0.31386861313868614,0.8703703703703703
Logistic Regression,0.34306569343065696,0.8703703703703703
Logistic Regression,0.34306569343065696,0.8814814814814815
Logistic Regression,0.3795620437956204,0.8814814814814815
Logistic Regression,0.3795620437956204,0.8888888888888888
Logistic Regression,0.39416058394160586,0.8888888888888888
Logistic Regression,0.39416058394160586,0.8925925925925926
Logistic Regression,0.40145985401459855,0.8925925925925926
Logistic Regression,0.40145985401459855,0.9
Logistic Regression,0.4306569343065693,0.9
Logistic Regression,0.4306569343065693,0.9074074074074074
Logistic Regression,0.43795620437956206,0.9074074074074074
Logistic Regression,0.43795620437956206,0.9185185185185185
Logistic Regression,0.45255474452554745,0.9185185185185185
Logistic Regression,0.45255474452554745,0.9222222222222223
Logistic Regression,0.45985401459854014,0.9222222222222223
Logistic Regression,0.45985401459854014,0.9259259259259259
Logistic Regression,0.48175182481751827,0.9259259259259259
Logistic Regression,0.48175182481751827,0.9333333333333333
Logistic Regression,0.5036496350364964,0.9333333333333333
Logistic Regression,0.5036496350364964,0.937037037037037
Logistic Regression,0.5109489051094891,0.937037037037037
Logistic Regression,0.5109489051094891,0.9407407407407408
Logistic Regression,0.5182481751824818,0.9407407407407408
Logistic Regression,0.5182481751824818,0.9444444444444444
Logistic Regression,0.5328467153284672,0.9444444444444444
Logistic Regression,0.5328467153284672,0.9481481481481482
Logistic Regression,0.5693430656934306,0.9481481481481482
Logistic Regression,0.5693430656934306,0.9518518518518518
Logistic Regression,0.583941605839416,0.9518518518518518
Logistic Regression,0.583941605839416,0.9555555555555556
Logistic Regression,0.5912408759124088,0.9555555555555556
Logistic Regression,0.5912408759124088,0.9592592592592593
Logistic Regression,0.6058394160583942,0.9592592592592593
Logistic Regression,0.6058394160583942,0.9666666666666667
Logistic Regression,0.6423357664233577,0.9666666666666667
Logistic Regression,0.6423357664233577,0.9703703703703703
Logistic Regression,0.6496350364963503,0.9703703703703703
Logistic Regression,0.6496350364963503,0.9777777777777777
Logistic Regression,0.6715328467153284,0.9777777777777777
Logistic Regression,0.6715328467153284,0.9814814814814815
Logistic Regression,0.7226277372262774,0.9814814814814815
Logistic Regression,0.7226277372262774,0.9851851851851852
