,Accuracy,Precision,Recall,F1-Score,AUC
XGBoost,0.855036855036855,0.8981132075471698,0.8814814814814815,0.8897196261682243,0.896404433630711
Random Forest,0.8353808353808354,0.8637992831541219,0.8925925925925926,0.8779599271402551,0.8939172749391727
Logistic Regression,0.8230958230958231,0.8807692307692307,0.8481481481481481,0.8641509433962264,0.8909434982427683
Decision Tree,0.7518427518427518,0.8118081180811808,0.8148148148148148,0.8133086876155268,0.7212760205460935
